Country,Cancer mortality cases ,Cancer mortality rate
Afghanistan,"16,923",78.7
Albania,"4,955",90.5
Algeria,"35,778",77.7
Argentina,"70,251",102.7
Armenia,"5,861",116.7
Australia,"51,884",84.6
Austria,"22,381",91.3
Azerbaijan,"11,314",93.2
Bahamas,552,109.2
Bahrain,607,58.6
Bangladesh,"116,598",74.7
Barbados,738,113.3
Belarus,"22,644",123.5
Belgium,"29,005",92.4
Belize,211,59.9
Benin,"5,069",71.6
Bhutan,480,67.2
Bolivia,"11,015",85.1
Bosnia and Herzegovina,"8,590",116.1
Botswana,"1,277",66.1
Brazil,"278,835",91.3
Brunei,464,104.6
Bulgaria,"18,794",114.2
Burkina Faso,"10,998",98.5
Burundi,"5,760",98.7
Cambodia,"13,799",99.3
Cameroon,"12,798",87.3
Canada,"100,465",96.4
Cape Verde,285,58.3
Central African Republic,"2,023",79.9
Chad,"7,257",86.2
Chile,"31,440",90.1
China,"2,574,176",96.5
Colombia,"56,719",81.4
Comoros,418,75.3
Congo,"1,732",52.9
Costa Rica,"6,072",75.3
Cote d'Ivoire,"14,143",93.6
Croatia,"13,854",125.7
Cuba,"27,724",110.2
Cyprus,"2,837",111.5
Czech Republic,"28,071",103.8
Denmark,"17,204",106.5
Djibouti,572,66.7
Dominican Republic,"11,744",92
East Timor,517,55.4
Ecuador,"16,158",76
Egypt,"95,275",107.7
El Salvador,"5,292",64.7
Equatorial Guinea,589,72.1
Eritrea,"1,724",72.5
Estonia,"4,086",114.4
Eswatini,697,88.8
Ethiopia,"54,698",74.5
Fiji,865,98.5
Finland,"13,445",79.8
France,"190,612",106.7
French Guiana,233,82.6
French Polynesia,481,122.3
Gabon,"1,094",69.5
Gambia,899,62.7
Georgia,"8,459",111.7
Germany,"253,170",99.7
Ghana,"17,944",82.6
Greece,"32,385",100.6
Guadeloupe,952,93
Guam,267,101.1
Guatemala,"10,369",71.1
Guinea,"6,363",87.5
Guinea-Bissau,849,76.5
Guyana,612,70.2
Haiti,"9,014",92.2
Honduras,"7,011",83.3
Hungary,"32,482",143.7
Iceland,669,83.2
India,"916,827",64.4
Indonesia,"242,988",82.5
Iran,"87,247",96.5
Iraq,"21,536",84.4
Ireland,"10,438",98.7
Israel,"12,855",83.2
Italy,"193,706",94.2
Jamaica,"4,632",116.6
Japan,"426,278",78.6
Jordan,"6,458",84.3
Kazakhstan,"20,686",92.1
Kenya,"29,317",104
Kuwait,"1,968",60.2
Kyrgyzstan,"4,672",82.8
Laos,"6,215",109.9
Latvia,"5,872",122.9
Lebanon,"7,307",92.3
Lesotho,"1,411",82
Liberia,"2,730",84
Libya,"5,316",91.1
Lithuania,"8,349",125
Luxembourg,"1,093",77.3
Madagascar,"14,270",83.6
Malawi,"13,979",117.9
Malaysia,"31,633",86.3
Maldives,241,58.8
Mali,"10,678",102.4
Malta,"1,036",81.6
Martinique,886,79.3
Mauritania,"2,234",74.8
Mauritius,"1,469",66.6
Mexico,"96,210",63.5
Moldova,"8,148",122.8
Mongolia,"4,929",181.5
Montenegro,"1,535",121.4
Morocco,"36,947",85.9
Mozambique,"19,020",96.3
Myanmar,"54,841",97.1
Namibia,"1,940",113
Nepal,"14,704",55.3
Netherlands,"49,790",103.2
New Caledonia,467,113.2
New Zealand,"11,301",100.2
Nicaragua,"4,822",76.8
Niger,"8,806",66.1
Nigeria,"79,542",74.6
North Korea,"42,789",113.9
North Macedonia,"4,364",112.5
Norway,"13,393",91.8
Oman,"2,261",66.3
Pakistan,"118,631",69.8
Palestine,"3,011",98
Panama,"3,770",65.7
Papua New Guinea,"7,200",119.8
Paraguay,"6,581",89.9
Peru,"35,934",82.4
Philippines,"113,369",112.9
Poland,"119,992",133.1
Portugal,"33,762",109
Puerto Rico,"5,796",75
Qatar,782,46.2
Romania,"56,216",132.5
Russia,"311,729",110.5
Rwanda,"4,887",59.4
Saint Lucia,223,76.1
Samoa,208,126.3
Sao Tome and Principe,90,68
Saudi Arabia,"13,399",46.2
Senegal,"8,134",81.6
Serbia,"23,881",128.4
Sierra Leone,"1,334",25.5
Singapore,"13,277",110.8
Slovakia,"15,166",125.7
Slovenia,"6,898",116.7
Solomon Islands,365,74.6
Somalia,"8,038",95.5
South Africa,"64,547",122.5
South Korea,"97,615",77
South Sudan,"5,081",76.3
Spain,"115,590",88.8
Sri Lanka,"19,145",59
Sudan,"18,504",64.4
Suriname,626,91.5
Sweden,"25,569",85.2
Switzerland,"19,420",78.8
Syria,"13,848",91
Tajikistan,"4,225",63.9
Tanzania,"29,743",97.1
Thailand,"118,829",93.4
Togo,"3,605",74
Trinidad and Tobago,"2,221",96.8
Tunisia,"12,580",80.2
Turkey,"129,672",116.1
Turkmenistan,"4,456",82.5
Uganda,"24,629",113.9
Ukraine,"84,153",101.1
United Arab Emirates,"2,283",54.4
United Kingdom,"181,807",98.3
United States,"605,761",82.3
Uruguay,"8,980",128.3
Uzbekistan,"22,071",71.5
Vanuatu,151,67.8
Venezuela,"31,737",91.3
Vietnam,"120,184",99
Yemen,"11,854",63.7
Zambia,"9,770",109.2
Zimbabwe,"11,739",144
